iter	Passed	Remaining
0	1	140
1	2	124
2	3	116
3	4	105
4	5	103
5	6	103
6	7	103
7	8	102
8	10	101
9	11	101
10	12	100
11	13	100
12	14	99
13	15	98
14	17	97
15	18	96
16	19	95
17	20	93
18	21	92
19	22	90
20	23	89
21	24	88
22	26	87
23	27	86
24	28	85
25	29	84
26	30	82
27	31	81
28	32	80
29	34	79
30	35	78
31	36	77
32	37	76
33	38	75
34	39	74
35	41	73
36	42	72
37	43	71
38	45	70
39	46	69
40	47	68
41	47	66
42	48	64
43	49	63
44	51	62
45	52	61
46	53	60
47	54	59
48	55	58
49	57	57
50	58	56
51	59	54
52	60	53
53	61	52
54	62	51
55	63	50
56	64	49
57	66	48
58	67	46
59	68	45
60	70	44
61	71	43
62	72	42
63	73	41
64	74	40
65	75	39
66	76	37
67	78	36
68	79	35
69	80	34
70	81	33
71	83	32
72	84	31
73	85	30
74	86	28
75	88	27
76	89	26
77	90	25
78	91	24
79	92	23
80	93	21
81	94	20
82	95	19
83	96	18
84	98	17
85	99	16
86	100	15
87	101	13
88	102	12
89	104	11
90	105	10
91	106	9
92	107	8
93	108	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	115	0
