iter	Passed	Remaining
0	307	307473
1	358	178782
2	371	123342
3	397	98873
4	404	80514
5	416	69030
6	428	60760
7	438	54343
8	440	48522
9	443	43889
10	454	40876
11	466	38434
12	478	36298
13	491	34621
14	504	33157
15	516	31735
16	522	30191
17	531	29002
18	540	27901
19	546	26800
20	557	25985
21	568	25261
22	569	24203
23	572	23292
24	595	23211
25	609	22830
26	620	22355
27	622	21595
28	625	20930
29	636	20564
30	645	20172
31	651	19706
32	665	19495
33	674	19159
34	675	18622
35	688	18429
36	702	18276
37	714	18088
38	728	17938
39	753	18078
40	779	18226
41	801	18273
42	812	18081
43	814	17699
44	819	17393
45	828	17176
46	834	16920
47	846	16784
48	858	16656
49	865	16438
50	872	16235
51	873	15925
52	874	15625
53	875	15336
54	876	15057
55	880	14836
56	892	14758
57	902	14662
58	911	14538
59	919	14410
60	931	14342
61	941	14249
62	946	14072
63	953	13950
64	968	13938
65	983	13914
66	994	13853
67	1000	13716
68	1015	13705
69	1023	13594
70	1030	13490
71	1038	13387
72	1047	13304
73	1052	13171
74	1056	13028
75	1065	12958
76	1075	12892
77	1080	12772
78	1090	12711
79	1091	12550
80	1092	12392
81	1093	12245
82	1099	12150
83	1104	12048
84	1106	11914
85	1108	11779
86	1109	11645
87	1111	11521
88	1113	11393
89	1114	11267
90	1115	11144
91	1118	11034
92	1119	10919
93	1121	10808
94	1123	10701
95	1124	10588
96	1126	10483
97	1128	10382
98	1130	10286
99	1131	10186
100	1134	10095
101	1142	10061
102	1154	10051
103	1159	9990
104	1161	9897
105	1163	9816
106	1165	9724
107	1166	9632
108	1167	9543
109	1168	9455
110	1170	9370
111	1171	9286
112	1172	9203
113	1173	9121
114	1175	9042
115	1176	8965
116	1177	8885
117	1180	8823
118	1188	8795
119	1189	8721
120	1191	8655
121	1203	8657
122	1212	8641
123	1218	8609
124	1227	8592
125	1240	8605
126	1241	8534
127	1253	8537
128	1260	8513
129	1272	8513
130	1278	8481
131	1279	8415
132	1280	8348
133	1281	8282
134	1283	8223
135	1294	8222
136	1295	8162
137	1302	8136
138	1309	8112
139	1313	8065
140	1321	8050
141	1322	7993
142	1324	7935
143	1330	7911
144	1342	7916
145	1349	7891
146	1361	7901
147	1373	7909
148	1375	7854
149	1376	7802
150	1390	7816
151	1398	7801
152	1408	7797
153	1416	7782
154	1421	7747
155	1430	7739
156	1432	7690
157	1434	7644
158	1442	7630
159	1445	7588
160	1446	7537
161	1447	7486
162	1448	7436
163	1449	7387
164	1450	7338
165	1451	7290
166	1451	7242
167	1452	7194
168	1453	7148
169	1455	7107
170	1465	7106
171	1466	7061
172	1467	7016
173	1468	6971
174	1469	6928
175	1470	6884
176	1471	6841
177	1472	6798
178	1474	6761
179	1475	6723
180	1476	6682
181	1477	6642
182	1478	6601
183	1479	6561
184	1480	6522
185	1481	6483
186	1482	6445
187	1483	6406
188	1484	6369
189	1485	6331
190	1486	6294
191	1487	6258
192	1490	6232
193	1494	6210
194	1505	6213
195	1528	6268
196	1534	6254
197	1544	6255
198	1552	6249
199	1558	6234
200	1566	6228
201	1569	6201
202	1581	6210
203	1583	6179
204	1595	6187
205	1597	6157
206	1602	6138
207	1610	6133
208	1612	6103
209	1621	6099
210	1630	6098
211	1636	6083
212	1647	6087
213	1652	6068
214	1660	6063
215	1671	6067
216	1674	6042
217	1684	6041
218	1686	6013
219	1693	6005
220	1709	6024
221	1717	6020
222	1719	5989
223	1722	5966
224	1732	5966
225	1733	5936
226	1734	5906
227	1735	5877
228	1738	5853
229	1747	5851
230	1749	5822
231	1758	5821
232	1768	5822
233	1772	5803
234	1777	5785
235	1786	5784
236	1792	5771
237	1801	5767
238	1805	5749
239	1814	5747
240	1816	5722
241	1824	5713
242	1831	5706
243	1832	5679
244	1833	5651
245	1834	5624
246	1835	5597
247	1839	5576
248	1849	5577
249	1853	5560
250	1863	5561
251	1872	5557
252	1880	5552
253	1889	5548
254	1900	5552
255	1902	5527
256	1912	5528
257	1918	5518
258	1925	5509
259	1928	5489
260	1939	5490
261	1940	5466
262	1941	5440
263	1942	5414
264	1944	5394
265	1952	5388
266	1955	5369
267	1957	5345
268	1962	5331
269	1971	5329
270	1975	5314
271	1983	5309
272	1985	5287
273	1986	5262
274	1996	5263
275	1999	5244
276	2000	5221
277	2001	5197
278	2002	5174
279	2003	5152
280	2013	5152
281	2014	5129
282	2015	5107
283	2018	5089
284	2028	5088
285	2029	5066
286	2030	5044
287	2031	5021
288	2032	4999
289	2033	4977
290	2034	4956
291	2044	4958
292	2048	4943
293	2057	4941
294	2059	4921
295	2064	4909
296	2073	4907
297	2074	4886
298	2075	4865
299	2076	4844
300	2080	4831
301	2089	4829
302	2090	4809
303	2091	4788
304	2093	4770
305	2102	4767
306	2107	4757
307	2115	4754
308	2117	4735
309	2118	4715
310	2128	4715
311	2131	4701
312	2133	4683
313	2134	4663
314	2139	4651
315	2147	4648
316	2148	4629
317	2149	4610
318	2152	4596
319	2162	4594
320	2163	4577
321	2165	4558
322	2166	4539
323	2166	4520
324	2167	4502
325	2168	4483
326	2169	4465
327	2170	4447
328	2171	4429
329	2173	4412
330	2174	4395
331	2175	4377
332	2179	4364
333	2188	4363
334	2189	4346
335	2190	4329
336	2191	4311
337	2192	4294
338	2193	4277
339	2194	4259
340	2195	4242
341	2196	4225
342	2197	4208
343	2198	4191
344	2198	4174
345	2199	4158
346	2200	4141
347	2202	4125
348	2203	4110
349	2204	4094
350	2208	4083
351	2218	4083
352	2219	4067
353	2220	4052
354	2221	4036
355	2222	4021
356	2223	4005
357	2226	3993
358	2236	3993
359	2237	3978
360	2241	3968
361	2250	3967
362	2252	3952
363	2257	3944
364	2265	3940
365	2266	3925
366	2267	3910
367	2268	3895
368	2268	3879
369	2269	3864
370	2270	3849
371	2271	3835
372	2281	3834
373	2286	3826
374	2295	3825
375	2296	3811
376	2297	3796
377	2298	3782
378	2299	3767
379	2300	3753
380	2301	3738
381	2302	3724
382	2303	3710
383	2303	3695
384	2307	3685
385	2316	3684
386	2318	3673
387	2328	3672
388	2330	3659
389	2340	3660
390	2342	3647
391	2352	3648
392	2354	3637
393	2359	3628
394	2367	3625
395	2368	3612
396	2369	3598
397	2370	3585
398	2371	3571
399	2373	3559
400	2383	3560
401	2384	3547
402	2385	3534
403	2388	3523
404	2398	3523
405	2402	3515
406	2410	3511
407	2411	3499
408	2414	3488
409	2424	3488
410	2425	3476
411	2426	3463
412	2427	3450
413	2428	3437
414	2429	3425
415	2431	3413
416	2441	3413
417	2443	3401
418	2447	3393
419	2455	3391
420	2463	3388
421	2472	3385
422	2479	3382
423	2480	3370
424	2482	3358
425	2490	3355
426	2495	3348
427	2495	3335
428	2496	3323
429	2498	3311
430	2499	3300
431	2501	3288
432	2506	3281
433	2514	3279
434	2515	3267
435	2516	3255
436	2517	3243
437	2518	3231
438	2519	3220
439	2520	3208
440	2521	3196
441	2522	3184
442	2523	3172
443	2524	3161
444	2525	3149
445	2529	3142
446	2537	3139
447	2538	3127
448	2541	3118
449	2551	3118
450	2552	3107
451	2553	3096
452	2554	3084
453	2555	3073
454	2561	3067
455	2567	3063
456	2568	3052
457	2569	3041
458	2570	3030
459	2571	3018
460	2577	3013
461	2584	3009
462	2585	2998
463	2586	2987
464	2587	2976
465	2588	2966
466	2592	2958
467	2601	2956
468	2608	2953
469	2613	2947
470	2614	2936
471	2615	2926
472	2616	2915
473	2617	2904
474	2629	2906
475	2630	2895
476	2631	2885
477	2632	2874
478	2634	2864
479	2635	2854
480	2636	2844
481	2644	2842
482	2648	2835
483	2657	2833
484	2658	2823
485	2660	2813
486	2661	2803
487	2662	2793
488	2663	2783
489	2664	2773
490	2665	2763
491	2666	2753
492	2667	2743
493	2668	2733
494	2669	2723
495	2670	2713
496	2671	2703
497	2672	2693
498	2673	2683
499	2673	2673
500	2675	2664
501	2677	2655
502	2678	2646
503	2679	2636
504	2680	2627
505	2681	2617
506	2681	2607
507	2682	2598
508	2683	2588
509	2684	2579
510	2685	2569
511	2686	2560
512	2687	2551
513	2688	2541
514	2689	2532
515	2690	2523
516	2692	2515
517	2693	2505
518	2694	2496
519	2694	2487
520	2695	2478
521	2696	2469
522	2697	2460
523	2698	2451
524	2699	2442
525	2700	2433
526	2701	2424
527	2702	2415
528	2703	2406
529	2706	2400
530	2715	2398
531	2716	2389
532	2717	2380
533	2718	2372
534	2719	2363
535	2720	2355
536	2722	2347
537	2723	2338
538	2724	2329
539	2724	2321
540	2725	2312
541	2726	2304
542	2727	2295
543	2728	2287
544	2729	2278
545	2730	2270
546	2731	2262
547	2732	2253
548	2733	2245
549	2734	2237
550	2735	2229
551	2736	2221
552	2739	2214
553	2750	2214
554	2759	2212
555	2764	2207
556	2774	2206
557	2776	2199
558	2786	2198
559	2787	2190
560	2788	2182
561	2789	2174
562	2790	2166
563	2791	2158
564	2792	2150
565	2793	2142
566	2794	2134
567	2796	2126
568	2797	2118
569	2798	2110
570	2799	2103
571	2800	2095
572	2800	2087
573	2801	2079
574	2802	2071
575	2803	2063
576	2804	2056
577	2805	2048
578	2806	2040
579	2807	2033
580	2808	2025
581	2810	2018
582	2812	2011
583	2813	2003
584	2813	1996
585	2814	1988
586	2815	1981
587	2816	1973
588	2817	1966
589	2818	1958
590	2819	1951
591	2820	1944
592	2831	1943
593	2840	1941
594	2842	1934
595	2843	1927
596	2844	1920
597	2845	1913
598	2847	1906
599	2848	1898
600	2849	1891
601	2850	1884
602	2851	1877
603	2851	1869
604	2852	1862
605	2854	1855
606	2855	1848
607	2856	1841
608	2857	1834
609	2858	1827
610	2859	1820
611	2860	1813
612	2861	1806
613	2861	1799
614	2862	1792
615	2863	1785
616	2864	1778
617	2865	1771
618	2866	1764
619	2867	1757
620	2868	1750
621	2869	1743
622	2871	1737
623	2872	1730
624	2872	1723
625	2873	1716
626	2874	1710
627	2875	1703
628	2876	1696
629	2877	1690
630	2878	1683
631	2879	1676
632	2880	1670
633	2881	1663
634	2882	1656
635	2883	1650
